layer,proj,kind,rows,cols,max_rank,effective_rank,null_space_dim,n_exact_zero,n_below_tol,sigma_max,sigma_min
0,q_proj,attn,4096,4096,4096,4056,40,0,40,30.598081588745117,4.2964262547684484e-07
0,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,18.39136505126953,0.0
0,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.5092300176620483,0.0
0,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,8.94621753692627,0.0
0,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,5.123588562011719,0.0
1,q_proj,attn,4096,4096,4096,4089,7,0,7,12.431885719299316,3.878091092701652e-07
1,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,8.953690528869629,0.0
1,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.2448354959487915,0.0
1,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,6.703042984008789,0.0
1,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.1744983196258545,0.0
2,q_proj,attn,4096,4096,4096,4095,1,0,1,9.361371040344238,5.612408131128177e-06
2,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.9239091873168945,0.0
2,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.9389049410820007,0.0
2,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,7.7819671630859375,0.0
2,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,2.980482816696167,0.0
3,q_proj,attn,4096,4096,4096,4095,1,0,1,9.994779586791992,2.2779211121815024e-06
3,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.192561626434326,0.0
3,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.913591206073761,0.0
3,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,9.193819999694824,0.0
3,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,2.7491118907928467,0.0
4,q_proj,attn,4096,4096,4096,4096,0,0,0,10.081868171691895,1.123911624745233e-05
4,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.553740978240967,0.0
4,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.0413398742675781,0.0
4,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.225054740905762,0.0
4,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,2.8475162982940674,0.0
5,q_proj,attn,4096,4096,4096,4096,0,0,0,9.423457145690918,0.00013011992268729955
5,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.628326416015625,0.0
5,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.9085814356803894,0.0
5,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.315595626831055,0.0
5,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.183331251144409,0.0
6,q_proj,attn,4096,4096,4096,4096,0,0,0,9.39062213897705,0.000178391914232634
6,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,8.111225128173828,0.0
6,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.9839838147163391,0.0
6,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.56881046295166,0.0
6,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.2486908435821533,0.0
7,q_proj,attn,4096,4096,4096,4096,0,0,0,9.408014297485352,4.261140929884277e-05
7,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,8.113115310668945,0.0
7,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.0599989891052246,0.0
7,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.202133178710938,0.0
7,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.444758892059326,0.0
8,q_proj,attn,4096,4096,4096,4096,0,0,0,8.1575345993042,0.0001375610736431554
8,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.539403915405273,0.0
8,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.9943245649337769,0.0
8,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.270843505859375,0.0
8,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.3591368198394775,0.0
9,q_proj,attn,4096,4096,4096,4096,0,0,0,8.101516723632812,6.348675378831103e-05
9,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.11890983581543,0.0
9,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.2186187505722046,0.0
9,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.063206672668457,0.0
9,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.3792128562927246,0.0
10,q_proj,attn,4096,4096,4096,4095,1,0,1,7.883596420288086,2.334939836146077e-06
10,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.9993462562561035,0.0
10,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1272971630096436,0.0
10,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.724883079528809,0.0
10,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.394517183303833,0.0
11,q_proj,attn,4096,4096,4096,4096,0,0,0,8.072437286376953,8.702748164068907e-05
11,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.852007865905762,0.0
11,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1390825510025024,0.0
11,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.492172241210938,0.0
11,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.4453985691070557,0.0
12,q_proj,attn,4096,4096,4096,4096,0,0,0,9.943285942077637,1.7443431715946645e-05
12,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.855281352996826,0.0
12,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1394035816192627,0.0
12,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.081244468688965,0.0
12,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.8210678100585938,0.0
13,q_proj,attn,4096,4096,4096,4096,0,0,0,8.468491554260254,0.00010471136192791164
13,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.458884239196777,0.0
13,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.023146629333496,0.0
13,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.382782936096191,0.0
13,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.6064577102661133,0.0
14,q_proj,attn,4096,4096,4096,4096,0,0,0,8.416468620300293,0.00012393629003781825
14,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.485916614532471,0.0
14,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,0.9841705560684204,0.0
14,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.484427452087402,0.0
14,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.5591793060302734,0.0
15,q_proj,attn,4096,4096,4096,4095,1,0,1,10.034709930419922,3.442097749939421e-06
15,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.929563999176025,0.0
15,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1356499195098877,0.0
15,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,13.489415168762207,0.0
15,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.545590400695801,0.0
16,q_proj,attn,4096,4096,4096,4096,0,0,0,9.839109420776367,6.272148311836645e-05
16,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,8.31036376953125,0.0
16,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.0197093486785889,0.0
16,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,13.396037101745605,0.0
16,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.729193925857544,0.0
17,q_proj,attn,4096,4096,4096,4096,0,0,0,10.42354679107666,9.680099901743233e-05
17,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.673202991485596,0.0
17,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1330348253250122,0.0
17,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,13.112788200378418,0.0
17,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.6988260746002197,0.0
18,q_proj,attn,4096,4096,4096,4096,0,0,0,9.859339714050293,0.00016493072325829417
18,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.863155841827393,0.0
18,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.047757625579834,0.0
18,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.57934284210205,0.0
18,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.6131341457366943,0.0
19,q_proj,attn,4096,4096,4096,4096,0,0,0,9.891057968139648,1.854020229075104e-05
19,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.392695903778076,0.0
19,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.139258861541748,0.0
19,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.748625755310059,0.0
19,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.4490249156951904,0.0
20,q_proj,attn,4096,4096,4096,4096,0,0,0,9.441370964050293,6.721746467519552e-05
20,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.525798320770264,0.0
20,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1467211246490479,0.0
20,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.614157676696777,0.0
20,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.5377726554870605,0.0
21,q_proj,attn,4096,4096,4096,4096,0,0,0,9.922386169433594,1.809490095183719e-05
21,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.410646915435791,0.0
21,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.151917576789856,0.0
21,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.189757347106934,0.0
21,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.6388373374938965,0.0
22,q_proj,attn,4096,4096,4096,4096,0,0,0,9.078825950622559,0.00012190888810437173
22,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.996856689453125,0.0
22,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.1924713850021362,0.0
22,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,11.133134841918945,0.0
22,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.5271458625793457,0.0
23,q_proj,attn,4096,4096,4096,4096,0,0,0,9.460192680358887,4.4059335778001696e-05
23,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.063031196594238,0.0
23,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.439761996269226,0.0
23,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,10.635332107543945,0.0
23,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.3432729244232178,0.0
24,q_proj,attn,4096,4096,4096,4096,0,0,0,8.819936752319336,0.0001416196464560926
24,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.744434833526611,0.0
24,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.3630210161209106,0.0
24,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,9.828076362609863,0.0
24,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.079977035522461,0.0
25,q_proj,attn,4096,4096,4096,4096,0,0,0,9.228470802307129,0.00022066806559450924
25,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,6.650259494781494,0.0
25,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.5058634281158447,0.0
25,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,9.510056495666504,0.0
25,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.192958354949951,0.0
26,q_proj,attn,4096,4096,4096,4096,0,0,0,8.944498062133789,2.8077891329303384e-05
26,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.185684680938721,0.0
26,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.4701035022735596,0.0
26,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,10.375567436218262,0.0
26,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,3.667473793029785,0.0
27,q_proj,attn,4096,4096,4096,4096,0,0,0,9.738767623901367,5.781601430498995e-05
27,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.298863410949707,0.0
27,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.7108513116836548,0.0
27,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.006054878234863,0.0
27,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,4.303846836090088,0.0
28,q_proj,attn,4096,4096,4096,4096,0,0,0,10.413396835327148,0.00016944680828601122
28,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.516549587249756,0.0
28,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.7294400930404663,0.0
28,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.193785667419434,0.0
28,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,5.147907257080078,0.0
29,q_proj,attn,4096,4096,4096,4096,0,0,0,8.89094066619873,1.6304438759107143e-05
29,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.559725284576416,0.0
29,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,1.8503297567367554,0.0
29,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,12.851358413696289,0.0
29,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,6.293947219848633,0.0
30,q_proj,attn,4096,4096,4096,4096,0,0,0,10.76186752319336,1.4766735148441512e-05
30,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,7.318429470062256,0.0
30,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,2.3384175300598145,0.0
30,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,14.576982498168945,0.0
30,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,9.606999397277832,0.0
31,q_proj,attn,4096,4096,4096,4095,1,0,1,12.266668319702148,9.78573825705098e-06
31,k_proj,attn,1024,4096,4096,1024,3072,3072,3072,8.36457633972168,0.0
31,v_proj,attn,1024,4096,4096,1024,3072,3072,3072,2.3328161239624023,0.0
31,gate_proj,mlp,14336,4096,14336,4096,10240,10240,10240,22.652189254760742,0.0
31,up_proj,mlp,14336,4096,14336,4096,10240,10240,10240,17.346044540405273,0.0
