layer,proj,kind,rows,cols,max_rank,effective_rank,null_space_dim,n_exact_zero,n_below_tol,sigma_max,sigma_min
0,q_proj,attn,4096,4096,4096,2610,1486,0,1486,30.598081588745117,4.2964262547684484e-07
0,k_proj,attn,1024,4096,1024,997,27,0,27,18.39136505126953,0.002305785659700632
0,v_proj,attn,1024,4096,1024,1024,0,0,0,1.5092300176620483,0.06339120119810104
0,gate_proj,mlp,14336,4096,4096,4096,0,0,0,8.94621753692627,0.12413743138313293
0,up_proj,mlp,14336,4096,4096,4096,0,0,0,5.123588562011719,0.1330145299434662
1,q_proj,attn,4096,4096,4096,3685,411,0,411,12.431885719299316,3.878091092701652e-07
1,k_proj,attn,1024,4096,1024,980,44,0,44,8.953690528869629,0.0019850819371640682
1,v_proj,attn,1024,4096,1024,1024,0,0,0,1.2448354959487915,0.1097283586859703
1,gate_proj,mlp,14336,4096,4096,4096,0,0,0,6.703042984008789,0.16349349915981293
1,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.1744983196258545,0.16655787825584412
2,q_proj,attn,4096,4096,4096,4014,82,0,82,9.361371040344238,5.612408131128177e-06
2,k_proj,attn,1024,4096,1024,1023,1,0,1,6.9239091873168945,0.002743051154538989
2,v_proj,attn,1024,4096,1024,1024,0,0,0,0.9389049410820007,0.09187135100364685
2,gate_proj,mlp,14336,4096,4096,4096,0,0,0,7.7819671630859375,0.1331208199262619
2,up_proj,mlp,14336,4096,4096,4096,0,0,0,2.980482816696167,0.12338104844093323
3,q_proj,attn,4096,4096,4096,4032,64,0,64,9.994779586791992,2.2779211121815024e-06
3,k_proj,attn,1024,4096,1024,1023,1,0,1,7.192561626434326,0.0068586282432079315
3,v_proj,attn,1024,4096,1024,1024,0,0,0,0.913591206073761,0.1569480001926422
3,gate_proj,mlp,14336,4096,4096,4096,0,0,0,9.193819999694824,0.11825390160083771
3,up_proj,mlp,14336,4096,4096,4096,0,0,0,2.7491118907928467,0.12053608894348145
4,q_proj,attn,4096,4096,4096,4023,73,0,73,10.081868171691895,1.123911624745233e-05
4,k_proj,attn,1024,4096,1024,1024,0,0,0,7.553740978240967,0.026244737207889557
4,v_proj,attn,1024,4096,1024,1024,0,0,0,1.0413398742675781,0.13282546401023865
4,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.225054740905762,0.11325380206108093
4,up_proj,mlp,14336,4096,4096,4096,0,0,0,2.8475162982940674,0.11160600185394287
5,q_proj,attn,4096,4096,4096,4027,69,0,69,9.423457145690918,0.00013011992268729955
5,k_proj,attn,1024,4096,1024,1024,0,0,0,7.628326416015625,0.10205497592687607
5,v_proj,attn,1024,4096,1024,1024,0,0,0,0.9085814356803894,0.10756827890872955
5,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.315595626831055,0.09917621314525604
5,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.183331251144409,0.09397653490304947
6,q_proj,attn,4096,4096,4096,4048,48,0,48,9.39062213897705,0.000178391914232634
6,k_proj,attn,1024,4096,1024,1024,0,0,0,8.111225128173828,0.12621785700321198
6,v_proj,attn,1024,4096,1024,1024,0,0,0,0.9839838147163391,0.09329212456941605
6,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.56881046295166,0.08719810843467712
6,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.2486908435821533,0.08164115250110626
7,q_proj,attn,4096,4096,4096,4039,57,0,57,9.408014297485352,4.261140929884277e-05
7,k_proj,attn,1024,4096,1024,1024,0,0,0,8.113115310668945,0.14208589494228363
7,v_proj,attn,1024,4096,1024,1024,0,0,0,1.0599989891052246,0.11684048175811768
7,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.202133178710938,0.29359832406044006
7,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.444758892059326,0.32290688157081604
8,q_proj,attn,4096,4096,4096,4047,49,0,49,8.1575345993042,0.0001375610736431554
8,k_proj,attn,1024,4096,1024,1024,0,0,0,7.539403915405273,0.1419268697500229
8,v_proj,attn,1024,4096,1024,1024,0,0,0,0.9943245649337769,0.0729672759771347
8,gate_proj,mlp,14336,4096,4096,4096,0,0,0,11.270843505859375,0.16040170192718506
8,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.3591368198394775,0.13701608777046204
9,q_proj,attn,4096,4096,4096,4048,48,0,48,8.101516723632812,6.348675378831103e-05
9,k_proj,attn,1024,4096,1024,1024,0,0,0,7.11890983581543,0.16458122432231903
9,v_proj,attn,1024,4096,1024,1024,0,0,0,1.2186187505722046,0.13585159182548523
9,gate_proj,mlp,14336,4096,4096,4096,0,0,0,12.063206672668457,0.17759574949741364
9,up_proj,mlp,14336,4096,4096,4096,0,0,0,3.3792128562927246,0.15194636583328247
10,q_proj,attn,4096,4096,4096,4045,51,0,51,7.883596420288086,2.334939836146077e-06
